,lattitude,longitude,elevation
154,40.2304,-105.6402,3378.52294921875
155,40.2304,-105.6384,3380.990234375
156,40.2304,-105.6367,3394.628662109375
157,40.2304,-105.6349,3408.76416015625
158,40.2304,-105.6331,3453.900634765625
159,40.2304,-105.6313,3528.032958984375
160,40.2304,-105.6296,3542.21875
161,40.2304,-105.6278,3550.936767578125
162,40.2304,-105.626,3560.0263671875
163,40.2304,-105.6243,3556.799072265625
164,40.2304,-105.6225,3525.16455078125
165,40.2304,-105.6207,3435.745361328125
166,40.2304,-105.619,3371.061279296875
167,40.2304,-105.6172,3343.55224609375
168,40.2304,-105.6154,3336.790771484375
169,40.2304,-105.6136,3314.8564453125
170,40.2304,-105.6119,3292.43310546875
171,40.2304,-105.6101,3264.00537109375
172,40.2304,-105.6083,3254.6240234375
173,40.2304,-105.6066,3246.555908203125
174,40.2304,-105.6048,3222.150146484375
175,40.2304,-105.603,3198.42236328125
176,40.2304,-105.6013,3190.04248046875
177,40.2304,-105.5995,3235.4970703125
178,40.2304,-105.5977,3301.895751953125
179,40.2304,-105.596,3344.526123046875
180,40.2304,-105.5942,3394.95556640625
181,40.2304,-105.5924,3432.224609375
182,40.2304,-105.5906,3460.90673828125
183,40.2304,-105.5889,3467.1796875
184,40.2304,-105.5871,3456.1435546875
185,40.2304,-105.5853,3434.876953125
186,40.2304,-105.5836,3399.658447265625
187,40.2304,-105.5818,3372.60693359375
188,40.2304,-105.58,3345.839111328125
189,40.2304,-105.5783,3316.12744140625
190,40.2304,-105.5765,3293.26904296875
191,40.2304,-105.5747,3278.302490234375
192,40.2304,-105.5729,3274.693115234375
193,40.2304,-105.5712,3266.591552734375
194,40.2304,-105.5694,3240.225341796875
195,40.2304,-105.5676,3175.807373046875
196,40.2304,-105.5659,3127.838623046875
197,40.2304,-105.5641,3111.911376953125
198,40.2304,-105.5623,3108.1064453125
199,40.2304,-105.5606,3048.279541015625
200,40.2312,-105.6473,3421.384033203125
201,40.2312,-105.6455,3406.700927734375
202,40.2312,-105.6437,3402.59912109375
203,40.2312,-105.642,3397.9228515625
204,40.2312,-105.6402,3381.798583984375
205,40.2312,-105.6384,3376.0712890625
206,40.2312,-105.6367,3405.541015625
207,40.2312,-105.6349,3433.010009765625
208,40.2312,-105.6331,3502.8388671875
209,40.2312,-105.6313,3565.42138671875
210,40.2312,-105.6296,3571.765380859375
211,40.2312,-105.6278,3564.77197265625
212,40.2312,-105.626,3553.76611328125
213,40.2312,-105.6243,3534.677734375
214,40.2312,-105.6225,3492.64697265625
215,40.2312,-105.6207,3395.881103515625
216,40.2312,-105.619,3365.675048828125
217,40.2312,-105.6172,3352.908203125
218,40.2312,-105.6154,3340.772216796875
219,40.2312,-105.6136,3331.441650390625
220,40.2312,-105.6119,3314.053955078125
221,40.2312,-105.6101,3277.8310546875
222,40.2312,-105.6083,3263.218505859375
223,40.2312,-105.6066,3251.748046875
224,40.2312,-105.6048,3220.549072265625
225,40.2312,-105.603,3210.8759765625
226,40.2312,-105.6013,3215.43505859375
227,40.2312,-105.5995,3268.345947265625
228,40.2312,-105.5977,3315.371826171875
229,40.2312,-105.596,3359.967041015625
230,40.2312,-105.5942,3406.179443359375
231,40.2312,-105.5924,3451.897216796875
232,40.2312,-105.5906,3481.664794921875
233,40.2312,-105.5889,3494.50439453125
234,40.2312,-105.5871,3487.686279296875
235,40.2312,-105.5853,3467.18994140625
236,40.2312,-105.5836,3437.900146484375
237,40.2312,-105.5818,3410.3310546875
238,40.2312,-105.58,3379.202880859375
239,40.2312,-105.5783,3347.33740234375
240,40.2312,-105.5765,3312.616455078125
241,40.2312,-105.5747,3296.2216796875
242,40.2312,-105.5729,3281.82275390625
243,40.2312,-105.5712,3265.39208984375
244,40.2312,-105.5694,3218.39111328125
245,40.2312,-105.5676,3159.373779296875
246,40.2312,-105.5659,3104.903564453125
247,40.2312,-105.5641,3088.86376953125
248,40.2312,-105.5623,3100.859619140625
249,40.2312,-105.5606,3099.099853515625
250,40.232,-105.6473,3420.390869140625
251,40.232,-105.6455,3414.92578125
252,40.232,-105.6437,3412.19873046875
253,40.232,-105.642,3406.186767578125
254,40.232,-105.6402,3386.156982421875
255,40.232,-105.6384,3374.498046875
256,40.232,-105.6367,3402.230712890625
257,40.232,-105.6349,3434.70263671875
258,40.232,-105.6331,3535.555908203125
259,40.232,-105.6313,3583.36474609375
260,40.232,-105.6296,3580.638671875
261,40.232,-105.6278,3565.32861328125
262,40.232,-105.626,3541.23388671875
263,40.232,-105.6243,3507.556640625
264,40.232,-105.6225,3447.998779296875
265,40.232,-105.6207,3388.634765625
266,40.232,-105.619,3372.9423828125
267,40.232,-105.6172,3357.3017578125
268,40.232,-105.6154,3349.884033203125
269,40.232,-105.6136,3344.187744140625
270,40.232,-105.6119,3332.11083984375
271,40.232,-105.6101,3303.01171875
272,40.232,-105.6083,3291.772216796875
273,40.232,-105.6066,3267.507568359375
