,lattitude,longitude,elevation
79,39.6348,-105.8186,4309.89013671875
80,39.6348,-105.817,4284.87109375
81,39.6348,-105.8154,4253.75146484375
82,39.6348,-105.8138,4222.1982421875
83,39.6348,-105.8122,4177.4033203125
84,39.6348,-105.8106,4114.34375
85,39.6348,-105.809,4078.052734375
86,39.6348,-105.8074,4071.094970703125
87,39.6348,-105.8058,4087.376220703125
88,39.6348,-105.8042,4112.27001953125
89,39.6348,-105.8026,4118.2275390625
90,39.6348,-105.801,4099.22900390625
91,39.6348,-105.7994,4064.599853515625
92,39.6348,-105.7978,4023.440185546875
93,39.6348,-105.7962,4089.386474609375
94,39.6348,-105.7946,4115.63330078125
95,39.6348,-105.793,4143.4658203125
96,39.6348,-105.7914,4146.1865234375
97,39.6348,-105.7898,4100.220703125
98,39.6348,-105.7882,4045.4501953125
99,39.6348,-105.7866,4001.521240234375
100,39.6364,-105.825,3972.3134765625
101,39.6364,-105.8234,4060.334228515625
102,39.6364,-105.8218,4138.7607421875
103,39.6364,-105.8202,4188.21337890625
104,39.6364,-105.8186,4231.0556640625
105,39.6364,-105.817,4193.59521484375
106,39.6364,-105.8154,4160.41259765625
107,39.6364,-105.8138,4136.24609375
108,39.6364,-105.8122,4122.298828125
109,39.6364,-105.8106,4062.229248046875
110,39.6364,-105.809,3992.98876953125
111,39.6364,-105.8074,3978.159912109375
112,39.6364,-105.8058,4007.794921875
113,39.6364,-105.8042,4072.345458984375
114,39.6364,-105.8026,4072.759521484375
115,39.6364,-105.801,4068.93896484375
116,39.6364,-105.7994,4137.6826171875
117,39.6364,-105.7978,4137.46142578125
118,39.6364,-105.7962,4187.13427734375
119,39.6364,-105.7946,4214.7705078125
120,39.6364,-105.793,4211.39794921875
121,39.6364,-105.7914,4158.06201171875
122,39.6364,-105.7898,4086.4365234375
123,39.6364,-105.7882,4037.557861328125
124,39.6364,-105.7866,3996.9716796875
125,39.638,-105.825,4041.0146484375
126,39.638,-105.8234,4072.542724609375
127,39.638,-105.8218,4131.962890625
128,39.638,-105.8202,4167.5244140625
129,39.638,-105.8186,4184.171875
130,39.638,-105.817,4103.90087890625
131,39.638,-105.8154,4051.06591796875
132,39.638,-105.8138,4048.5
133,39.638,-105.8122,4050.294921875
134,39.638,-105.8106,3966.938232421875
135,39.638,-105.809,3881.243408203125
136,39.638,-105.8074,3879.9736328125
137,39.638,-105.8058,3893.96630859375
138,39.638,-105.8042,3954.232177734375
139,39.638,-105.8026,3931.975830078125
140,39.638,-105.801,3939.998779296875
141,39.638,-105.7994,3977.987060546875
142,39.638,-105.7978,4013.05029296875
143,39.638,-105.7962,4069.4443359375
144,39.638,-105.7946,4072.5908203125
145,39.638,-105.793,4076.361083984375
146,39.638,-105.7914,4104.078125
147,39.638,-105.7898,4095.1904296875
148,39.638,-105.7882,4044.879150390625
149,39.638,-105.7866,4012.9619140625
150,39.6396,-105.825,4140.31982421875
151,39.6396,-105.8234,4162.55517578125
152,39.6396,-105.8218,4176.90966796875
153,39.6396,-105.8202,4191.52001953125
154,39.6396,-105.8186,4159.923828125
155,39.6396,-105.817,4031.5556640625
156,39.6396,-105.8154,3949.450927734375
157,39.6396,-105.8138,3937.121337890625
158,39.6396,-105.8122,3958.69921875
159,39.6396,-105.8106,3927.077880859375
160,39.6396,-105.809,3872.6455078125
161,39.6396,-105.8074,3860.114501953125
162,39.6396,-105.8058,3840.39111328125
163,39.6396,-105.8042,3842.214111328125
164,39.6396,-105.8026,3814.17724609375
165,39.6396,-105.801,3815.278076171875
166,39.6396,-105.7994,3846.885986328125
167,39.6396,-105.7978,3902.81005859375
168,39.6396,-105.7962,3926.101806640625
169,39.6396,-105.7946,3923.255615234375
170,39.6396,-105.793,3932.658203125
171,39.6396,-105.7914,3970.0546875
172,39.6396,-105.7898,4023.218994140625
173,39.6396,-105.7882,4075.416259765625
